1,-285
2,245
1,243
2,239
3,242
4,248
5,241
6,-250
7,236
8,246
9,240
10,238
11,231
12,241
13,-250
14,235
15,242
16,236
17,241
18,243
19,242
20,239
21,248
22,238
23,243
24,238
25,247
26,242
27,245
28,244
29,244
30,246
31,244
32,237
1,238
2,230
3,240
4,243
5,238
6,239
7,240
1,246
2,247
3,248
4,242
5,243
6,238
7,248
8,246
9,249
10,243
11,236
12,249
1,240
2,238
3,237
4,246
5,245
6,231
7,246
8,235
9,243
10,247
1,-252
2,247
3,242
4,241
5,247
6,-256
7,243
8,243
9,236
10,244
11,243
12,239
13,247
14,240
15,247
16,234
17,235
18,244
19,238
1,245
2,245
3,234
4,246
5,237
6,239
7,241
8,242
9,244
10,-256
11,244
12,237
13,235
14,245
15,243
16,238
17,243
18,235
19,245
20,235
21,248
22,241
23,247
24,241
25,246
26,-257
1,241
2,247
3,241
4,236
5,245
1,239
2,250
3,249
4,246
5,237
1,241
2,245
3,241
4,246
5,248
1,240
2,234
3,238
4,240
5,238
1,250
2,247
3,238
4,241
5,240
1,245
2,241
3,244
4,248
5,247
1,242
2,232
3,235
4,237
5,239
